Link,Title,Name,Location,Salary,Summary
https://kr.indeed.com/viewjob?jk=534ced84e37f7080,Marketing specialist,Emerson,경기도,,Manager and Sales Team to make the most appropriate short term and long term strategic directions and actions by providing...
https://kr.indeed.com/viewjob?jk=d1aabd8c2dd33f32,Head of Asset Development & Consultancy Korea / PDS 자산 개발 및...,JLL,서울,,strong client network within the industry as part of a long- term vision for sustainable and growing revenues. Capable...
https://kr.indeed.com/viewjob?jk=4bfe5e82fe49587e,"Enterprise Sales Executive (Retail, Food & Beverages and Tra...",UiPath,서울,,execute account strategy and road maps... long term relationship Develop and maintain relationships with decision makers...
https://kr.indeed.com/viewjob?jk=4532d030cf41005c,"Sales Specialist - Automotive, Robotics and Discrete Automat...",ABB,서울,,"designated market in accordance with strategy, building long term customer relationships and manage resolution to specific..."
https://kr.indeed.com/viewjob?jk=a49794359bd632d7,Regional Licensing Manager,"GTC Technology US, LLC",서울,,"new business for Sulzer GTC technology sales, building long- term customer relationships, providing technical solutions..."
https://kr.indeed.com/viewjob?jk=59404e8b933875cd,CIB - Securities Services - Client Service Manager - Korea -...,"JPMorgan Chase Bank, N.A.",서울,,"do. We strive to build trusted, long- term partnerships to help our clients achieve... cultivate long term partnership with key..."
https://kr.indeed.com/viewjob?jk=e97015875058ee73,"Sales Manager, Google Customer Solutions",Google,서울,,"medium sized business advertisers in Korea. Through long- term relationship development, we are dedicated to understanding..."
https://kr.indeed.com/viewjob?jk=cbcb03b544d04b99,"Senior Account Strategist, Mid-Market Sales (Korean, English...",Google,서울,,"critical growth engine for customers in GCS. Through long- term relationship development, we are dedicated to understanding..."
https://kr.indeed.com/viewjob?jk=260bcd2e03857dd1,Commercial Manager Travel Sellers Korea,Amadeus,서울,,"needs and drive Amadeus growth... market. - Define mid/long term ambition, strategic plan and associated KPIs across our..."
https://kr.indeed.com/viewjob?jk=3cceef1d8c28c215,Senior Field Applications Engineering Manager,National Instruments,서울,,maximizing NI business opportunity pipeline in short and long term through directly interacting with account management teams...
https://kr.indeed.com/viewjob?jk=322ef99308eb03e3,Associate Solutions Architect - Early Career Program,Amazon Web Services Korea LLC,서울,,You’ll help ensure... short- term technology decisions are aligned... long- term goals. Speeding up the adoption...
https://kr.indeed.com/viewjob?jk=a10ac52ed0890f65,Client Solution Executive,Kyndryl,서울,,Required Professional and Technical Expertise : - Long- term and large deal closing experience (>10M$) in Enterprise IT infra...
https://kr.indeed.com/viewjob?jk=e8ef1bcf035956a1,Firestop Engineer,HILTI,서울,,customers. Local / country scope. We are proud to have a long- term bonding with our employees: More than 30% of our...
https://kr.indeed.com/viewjob?jk=d5b5cacababc4bb0,Executive/Manager,Macquarie Group Limited,서울,,"strategy. Execution of transactions will include initial term sheet negotiations, managing due diligence, negotiation..."
https://kr.indeed.com/viewjob?jk=66e91ffe485c10c5,"Senior Consultant (Expert Services), South Korea",Mendix,서울,,"impact... world. So, if you aim high and think long term…you belong here. We innovate. We want... what happens next..."
https://kr.indeed.com/viewjob?jk=2fbf78febb973d48,Strategic Partnerships Development Manager (Korean),Google,서울,,always trying to exceed... expectations and strengthen our long- term partner relationships. We help grow Google's business...
